Year;GDPGR;UR
2000;10.00006681;10.581
2001;5.100051226;8.978
2002;4.699991909;7.875
2003;7.299952345;8.21
2004;7.19994787;7.763
2005;6.399965448;7.124
2006;8.200068255;7.055
2007;8.499977769;6.002
2008;5.199969264;6.205
2009;-7.799993913;8.301
2010;4.499999999;7.407
2011;4.300029186;6.571
2012;4.024086157;5.484
2013;1.755422149;5.513
2014;0.736267222;5.212
2015;-1.972719226;5.615
2016;0.193690071;5.591
2017;1.825790064;5.238
2018;2.807245411;4.871
2019;2.198075713;4.513
2020;-2.653654501;5.62
2021;5.614290376;4.749
2022;-2.069711525;3.867
2023;3.6;3.076
