,TRADEDATE,CLOSE
0,2013-03-25,98.79
1,2013-03-26,97.2
2,2013-03-27,96.75
3,2013-03-28,98.59
4,2013-03-29,98.76
5,2013-04-01,98.07
6,2013-04-02,98.93
7,2013-04-03,99.59
8,2013-04-04,99.91
9,2013-04-05,99.38
10,2013-04-08,100.43
11,2013-04-09,102.53
12,2013-04-10,100.56
13,2013-04-11,100.31
14,2013-04-12,98.34
15,2013-04-15,95.48
16,2013-04-16,95.92
17,2013-04-17,94.58
18,2013-04-18,95.35
19,2013-04-19,96.22
20,2013-04-22,95.1
21,2013-04-23,96.46
22,2013-04-24,97.89
23,2013-04-25,96.11
24,2013-04-26,95.6
25,2013-04-29,94.83
26,2013-04-30,99.3
27,2013-05-02,100.84
28,2013-05-03,102.92
29,2013-05-06,102.28
30,2013-05-07,105.14
31,2013-05-08,105.81
32,2013-05-10,103.78
33,2013-05-13,103.34
34,2013-05-14,103.84
35,2013-05-15,103.22
36,2013-05-16,102.45
37,2013-05-17,105.17
38,2013-05-20,106.49
39,2013-05-21,108.9
40,2013-05-22,110.73
41,2013-05-23,105.61
42,2013-05-24,102.97
43,2013-05-27,102.86
44,2013-05-28,104.0
45,2013-05-29,99.9
46,2013-05-30,99.98
47,2013-05-31,99.0
48,2013-06-03,98.8
49,2013-06-04,98.71
50,2013-06-05,97.5
51,2013-06-06,96.91
52,2013-06-07,98.92
53,2013-06-10,97.9
54,2013-06-11,94.7
55,2013-06-13,91.85
56,2013-06-14,93.64
57,2013-06-17,95.74
58,2013-06-18,96.36
59,2013-06-19,94.63
60,2013-06-20,91.56
61,2013-06-21,91.24
62,2013-06-24,88.66
63,2013-06-25,89.74
64,2013-06-26,92.67
65,2013-06-27,93.2
66,2013-06-28,93.5
67,2013-07-01,95.4
68,2013-07-02,94.59
69,2013-07-03,93.18
70,2013-07-04,94.0
71,2013-07-05,93.3
72,2013-07-08,93.0
73,2013-07-09,92.41
74,2013-07-10,91.03
75,2013-07-11,95.55
76,2013-07-12,98.4
77,2013-07-15,99.87
78,2013-07-16,99.35
79,2013-07-17,101.11
80,2013-07-18,98.47
81,2013-07-19,99.9
82,2013-07-22,97.82
83,2013-07-23,96.97
84,2013-07-24,96.16
85,2013-07-25,95.78
86,2013-07-26,94.76
87,2013-07-29,94.17
88,2013-07-30,94.13
89,2013-07-31,95.3
90,2013-08-01,96.95
91,2013-08-02,96.98
92,2013-08-05,96.25
