data;curs
20.11.2024;100.0348
19.11.2024;99.9430
16.11.2024;99.9971
15.11.2024;99.0180
14.11.2024;98.3657
13.11.2024;97.9559
12.11.2024;97.9550
09.11.2024;97.8335
08.11.2024;98.0726
07.11.2024;98.2236
06.11.2024;98.0562
03.11.2024;97.5499
02.11.2024;97.4402
01.11.2024;97.0226
31.10.2024;97.0530
30.10.2024;97.3261
29.10.2024;97.2300
26.10.2024;96.6657
25.10.2024;96.7402
24.10.2024;96.6379
23.10.2024;96.5918
22.10.2024;96.0924
19.10.2024;96.4172
18.10.2024;97.1490
17.10.2024;97.2568
16.10.2024;97.0121
15.10.2024;96.1021
12.10.2024;96.0686
11.10.2024;97.2394
10.10.2024;96.9483
09.10.2024;96.1079
08.10.2024;96.0649
05.10.2024;94.8700
04.10.2024;95.0262
03.10.2024;94.5054
02.10.2024;93.3581
01.10.2024;93.2221
28.09.2024;92.7126
27.09.2024;92.4074
26.09.2024;92.3880
25.09.2024;92.8622
24.09.2024;92.9200
21.09.2024;92.5848
20.09.2024;92.6962
19.09.2024;91.6712
18.09.2024;91.4292
17.09.2024;91.1423
14.09.2024;90.9345
13.09.2024;91.1096
12.09.2024;91.2653
11.09.2024;91.1127
10.09.2024;90.3853
07.09.2024;89.8225
06.09.2024;89.7044
05.09.2024;88.9288
04.09.2024;88.6118
03.09.2024;90.0013
31.08.2024;91.1868
30.08.2024;91.4548
29.08.2024;91.4449
28.08.2024;91.4807
27.08.2024;91.7745
24.08.2024;91.6012
23.08.2024;91.2881
22.08.2024;91.6862
21.08.2024;90.6944
20.08.2024;89.5428
17.08.2024;88.9062
16.08.2024;88.7960
15.08.2024;90.0055
14.08.2024;92.6592
13.08.2024;89.9475
10.08.2024;87.9920
09.08.2024;86.5621
08.08.2024;85.9543
07.08.2024;85.1646
06.08.2024;84.9471
03.08.2024;85.7024
02.08.2024;85.7833
01.08.2024;86.1091
31.07.2024;86.3300
30.07.2024;86.5554
27.07.2024;85.5650
26.07.2024;85.4100
25.07.2024;86.5502
24.07.2024;87.2990
23.07.2024;87.7805
20.07.2024;88.0206
19.07.2024;87.8754
18.07.2024;88.0872
17.07.2024;88.2824
16.07.2024;87.8077
13.07.2024;87.7427
12.07.2024;87.9880
11.07.2024;87.8551
10.07.2024;88.0031
09.07.2024;88.1688
06.07.2024;88.1348
05.07.2024;88.1205
04.07.2024;87.9506
03.07.2024;87.9921
02.07.2024;87.2972
29.06.2024;85.7480
28.06.2024;84.9640
27.06.2024;87.8064
26.06.2024;87.2770
25.06.2024;87.3730
22.06.2024;87.9595
21.06.2024;85.4176
20.06.2024;82.6282
19.06.2024;87.0354
18.06.2024;89.0499
15.06.2024;89.0658
14.06.2024;88.2080
12.06.2024;89.0214
11.06.2024;88.9944
08.06.2024;88.7606
07.06.2024;88.7604
06.06.2024;88.7436
05.06.2024;88.7574
04.06.2024;89.3755
01.06.2024;90.1915
31.05.2024;89.7869
30.05.2024;89.2589
29.05.2024;88.4375
28.05.2024;88.6852
25.05.2024;89.7026
24.05.2024;90.2486
23.05.2024;90.1887
22.05.2024;90.4082
21.05.2024;90.6537
18.05.2024;90.9873
17.05.2024;90.9239
16.05.2024;91.2573
15.05.2024;91.3591
14.05.2024;91.6330
09.05.2024;91.8239
08.05.2024;91.1231
07.05.2024;91.3124
04.05.2024;91.6918
03.05.2024;92.0538
28.04.2024;91.7791
27.04.2024;92.0134
26.04.2024;92.1314
25.04.2024;92.5058
24.04.2024;93.2918
23.04.2024;93.2519
20.04.2024;93.4409
19.04.2024;94.0922
18.04.2024;94.3242
17.04.2024;94.0742
16.04.2024;93.5891
13.04.2024;93.4419
12.04.2024;93.7196
11.04.2024;93.2198
10.04.2024;92.7463
09.04.2024;92.5810
06.04.2024;92.4155
05.04.2024;92.3058
04.04.2024;92.3892
03.04.2024;92.5254
02.04.2024;92.2914
30.03.2024;92.3660
29.03.2024;92.2628
28.03.2024;92.5919
27.03.2024;92.5745
